section	verse	gospel_refs	text
XII	42	Matt. x. 1	that have no shepherd. And he called his twelve disciples, and gave them power and
XII	43	Luke ix. 2	much authority over all devils and diseases; and sent them two and two, that they
XII	44	Matt. x. 5	might proclaim the kingdom of God, and to heal the sick. And he charged them, and said, Walk not in the way of the heathen, nor enter into the cities of the Samaritans.
XII	45, 46	Matt. x. 6; Matt. x. 7	Go especially unto the sheep that are lost of the sons of Israel. And
XII	47	Matt. x. 8	when ye go, proclaim and say, The kingdom of heaven is come near. And heal the sick, and cleanse the lepers, and cast out the devils: freely ye have received, freely
XII	48, 49	Matt. x. 9; Mark vi. 8	give. Get you not gold, nor silver, nor brass in your purses; and take nothing for the way, except a staff only; nor bag, nor bread; neither shall ye have two tunics,
XII	50	Matt. x. 10	nor shoes, nor staff, but be shod with sandals; for the labourer is worthy of his food.
XII	51	Matt. x. 10	And whatever city or village ye enter, inquire who is worthy in it, and there be until
XII	52, 53	Matt. x. 11; Matt. x. 12	ye go out. And when ye enter into the house, ask for the peace of the house: and if the house is worthy, your peace shall come upon it; but if it is not worthy, your
XII	54	Matt. x. 14	peace shall return unto you. And whosoever shall not receive you, nor hear your sayings, when ye go out from that house, or from that village, shake off the dust
XII	55	Matt. x. 15	that is under your feet against them for a testimony. And verily I say unto you, To the land of Sodom and Gomorrah there shall be rest in the day of judgement, rather than to that city. Footnotes[edit]
XIII	1	Matt. x. 16	I am sending you as lambs among wolves: be ye now wise as serpents, and
XIII	2	Matt. x. 17	harmless as doves. Beware of men: they shall deliver you to the councils of the
XIII	3	Matt. x. 18	magistrates, and scourge you in their synagogues; and shall bring you before governors and kings for my sake, for a testimony against them and against the nations.
XIII	4	Matt. x. 19	And when they deliver you up, be not anxious, nor consider beforehand, what ye
XIII	5	Matt. x. 20	shall say; but ye shall be given in that hour what ye ought to speak. Ye do not
XIII	6	Matt. x. 21	speak, but the Spirit of your Father speaketh in you. The brother shall deliver up his brother to death, and the father his son; and the sons shall rise against their
XIII	7	Matt. x. 22	parents, and put them to death. And ye shall be hated of every man because of
XIII	8	Matt. x. 23	my name; but he that endureth unto the end of the matter shall be saved. When they expel you from this city, flee to another. Verily I say unto you, Ye shall not finish all the cities of the people of Israel, until the Son of man come.
XIII	9, 10	Matt. x. 24; Matt. x. 25	A disciple is not superior to his lord, nor a servant to his master. For it is enough then for the disciple that he be as his lord, and the servant as his master. If they have called the master of the house Beelzebul, how much more the people
XIII	11	Matt. x. 26	of his house! Fear them not therefore: for there is nothing covered, that shall
XIII	12	Matt. x. 27	not be revealed; nor hid, that shall not be disclosed and published. What I say unto you in the darkness, speak ye in the light; and what ye have told
XIII	13	Luke xii. 4	secretly in the ears in closets, let it be proclaimed on the housetops. I say unto you now, my beloved, Be not agitated at those who kill the body, but have no power to
XIII	14		kill the soul. I will inform you whom ye shall fear: him which is able to destroy
XIII	15	Luke xii. 5	soul and body in hell. Yea, I say unto you, Be afraid of him especially. Are not two sparrows sold for a farthing in a bond? and one of them shall not fall on the
XIII	16	Matt. x. 30	ground without your Father. But what concerns you: even the hair of your heads
XIII	17, 18	Matt. x. 31; Matt. x. 32	also is numbered. Fear not therefore; ye are better than many sparrows. Every man who confesseth me now before men, I also will confess him before my Father
XIII	19	Matt. x. 33	which is in heaven; but whosoever denieth me before men, I also will deny him before my Father which is in heaven.
XIII	20	Luke xii. 51	Think ye that I am come to cast peace into the earth? I came not to cast peace,
XIII	21	Luke xii. 52	but to cast dissension. Henceforth there shall be five in one house, three of them
XIII	22	Luke xii. 53	disagreeing with two, and the two with the three. The father shall become hostile to his son, and the son to his father; and the mother to her daughter, and the daughter to her mother; and the mother in law to her daughter in law, and the daughter
XIII	23	Matt. x. 36	in law to her mother in law: and a man’s enemies shall be the people of his house.
XIII	24	Matt. x. 37	Whosoever loveth father or mother better than me is not worthy of me; and whosoever loveth son or daughter more than his love of me is not worthy of me.
XIII	25	Matt. x. 38	And every one that doth not take his cross and follow me is not worthy of
XIII	26	Matt. x. 39	me. Whosoever findeth his life shall lose it; and whosoever loseth his life for my sake shall find it.
XIII	27	Matt. x. 40	And whosoever receiveth you receiveth me; and whosoever receiveth me receiveth
XIII	28	Matt. x. 41	him that sent me. And whosoever receiveth a prophet in the name of a prophet shall take a prophet’s reward; and whosoever shall receive a righteous man
XIII	29	Matt. x. 42	in the name of a righteous man shall take a righteous man’s reward. And every one that shall give to drink to one of these least ones a drink of water only, in the name of a disciple, verily I say unto you, he shall not lose his reward.
XIII	30	Matt. xi. 1	And when Jesus finished charging his twelve disciples, he removed thence to
XIII	31	Luke x. 38	teach and preach in their cities. And while they were going in the way they entered into a certain village; and a woman named Martha entertained him in her house.
XIII	32	Luke x. 39	And she had a sister named Mary, and she came and sat at the feet of our Lord,
XIII	33	Luke x. 40	and heard his sayings. But Martha was disquieted by much serving; and she came and said unto him, My Lord, givest thou no heed that my sister left me alone to
XIII	34	Luke x. 41	serve? speak to her that she help me. Jesus answered and said unto her, Martha,
XIII	35	Luke x. 42	Martha, thou art solicitous and impatient on account of many things: but what is sought is one thing. But Mary hath chosen for herself a good portion, and that which shall not be taken from her.
XIII	36	Mark vi. 12	And the apostles went forth, and preached to the people that they might repent.
XIII	37	Mark vi. 13	And they cast out many devils, and anointed many sick with oil, and healed them.
XIII	38, 39	Luke vii. 18; Matt. xi. 2	And the disciples of John told him of all these things. And when John heard in the prison of the doings of the Messiah, he called two of his disciples, and sent them to Jesus, and said, Art thou he that cometh, or look we for
XIII	40	Luke vii. 20	another? And they came to Jesus, and said unto him, John the Baptist hath sent
XIII	41	Luke vii. 21	us unto thee, and said, Art thou he that cometh, or look we for another? And in that hour he cured many of diseases, and of plagues of an evil spirit; and he gave sight
XIII	42	Luke vii. 22	to many blind. Jesus answered and said unto them, Go and tell John everything ye have seen and heard: the blind see, and the lame walk, and the lepers are cleansed, and the blind hear, and the dead rise, and the poor have the gospel preached to
XIII	43	Luke vii. 23	them. And blessed is he who doubteth not in me.
XIII	44	Luke vii. 24	And when John’s disciples departed, Jesus began to say to the multitudes concerning John, What went ye out into the wilderness to see? a reed shaken with the
XIII	45	Luke vii. 25	winds? And if not, then what went ye out to see? a man clothed in soft raiment? Behold, they that are in magnificent garments and in voluptuousness are in the abode
XIII	46	Luke vii. 26	of kings. And if not, then what went ye out to see? a prophet? Yea, I say unto
XIII	47	Luke vii. 27	you, and more than a prophet. This is he of whom it is written, I am sending my messenger before thy face To prepare the way before thee. Footnotes[edit]
XIV	1	Matt. xi. 11	Verily I say unto you, There hath not arisen among those whom women have borne a greater than John the Baptist; but he that is little now in the kingdom of heaven is greater than he.
XIV	2	Luke vii. 29	And all the people which heard, and the publicans, justified God, for
XIV	3	Luke vii. 30	they had been baptized with the baptism of John. But the Pharisees and the scribes wronged the purpose of God in themselves, in that they were not baptized of
XIV	4	Matt. xi. 12	him. And from the days of John the Baptist until now the kingdom of heaven is
XIV	5	Luke xvi. 16; Matt. xi. 12	snatched away by violence. The law and the prophets were until John; and after that, the kingdom of God is preached, and all press to enter it: and they that exert themselves
XIV	6, 7	Matt. xi. 13; Matt. xi. 14	snatch it away. All the prophets and the law until John prophesied. And if ye
XIV	8	Matt. xi. 15	will, then receive it, that he is Elijah, which is to come. Whosoever hath ears that hear
XIV	9	Luke xvi. 17	let him hear. Easier is the perishing of heaven and earth, than the passing away of
XIV	10	Luke vii. 31	one point of the law. To whom then shall I liken the people of this generation, and
XIV	11	Luke vii. 32	to whom are they like? They are like the children sitting in the market, which call to their companions, and say, We sang to you, and ye danced not; we wailed to you,
XIV	12	Luke vii. 33	and ye wept not. John the Baptist came neither eating bread nor drinking wine;
XIV	13	Luke vii. 34	and ye said, He hath demons: and the Son of man came eating and drinking; and ye said, Behold, a gluttonous man, and a drinker of wine, and an associate of publicans
XIV	14, 15	Luke vii. 35; Mark iii. 20	and sinners! And wisdom was justified of all her children. And when he said that, they came to the house. And there gathered unto him again multitudes,
XIV	16	Luke xi. 14	so that they found not bread to eat. And while he was casting out a devil which was dumb, when he cast out that devil, that dumb man spake. And the multitudes
XIV	17	Matt. xii. 24	marvelled. And the Pharisees, when they heard, said, This man doth not cast out the devils, except by Beelzebul the chief of the demons, which is in him.
XIV	18, 19	Luke xi. 16; Matt. xii. 25	And others requested of him a sign from heaven, to tempt him. And Jesus knew their thoughts, and said unto them in parables, Every kingdom that withstandeth itself shall become desolate; and every house or city that disagreeth with itself shall not
XIV	20	Matt. xii. 26	stand: and if a devil cast out a devil, he withstandeth himself; neither shall he be
XIV	21	Mark iii. 26	able to stand, but his end shall be. Then how now shall his kingdom stand? for ye
XIV	22	Luke xi. 18	said that I cast out devils by Beelzebul. And if I by Beelzebul cast out the devils, then your children, by what do they cast them out? And for this cause they shall
XIV	23	Matt. xii. 28	be judges against you. But if I by the Spirit of God cast out devils, then the kingdom
XIV	24	Matt. xii. 29	of God is come near unto you. Or how can a man enter into the house of a valiant man, and seize his garments, if he do not beforehand secure himself from
XIV	25	Luke xi. 21	that valiant man? and then will he cut off his house. But when the valiant man is
XIV	26	Luke xi. 22	armed, guarding his house, his possessions are in peace. But if one come who is more valiant than he, he overcometh him, and taketh his whole armour, on which
XIV	27	Luke xi. 23	he relieth, and divideth his spoil. Whosoever is not with me is against me; and
XIV	28	Mark iii. 28	whosoever gathereth not with me scattereth abroad. For this reason I say unto you, that all sins and blasphemies with which men blaspheme shall be forgiven
XIV	29	Mark iii. 29	them: but whosoever shall blaspheme against the Holy Spirit, there is no
XIV	30	Mark iii. 30	forgiveness for him for ever, but he is deserving of eternal punishment: because they
XIV	31	Matt. xii. 32	said that he had an unclean spirit. And he said also, Every one that speaketh a word against the Son of man, it shall be forgiven him; but whosoever speaketh against the Holy Spirit, it shall not be forgiven him, neither in this world, nor in the world to
XIV	32	Matt. xii. 33	come. Either ye must make a good tree and its fruit good; or ye must make an evil
XIV	33	Matt. xii. 34	tree and its fruit evil: for the tree is known by its fruit. Ye children of vipers, how can ye, being evil, speak good things? from the overflowings of the heart the mouth
XIV	34	Luke vi. 45	speaketh. The good man from the good treasures which are in his heart bringeth forth good things; and the wicked man from the evil treasures which are in his
XIV	35	Matt. xii. 36	heart bringeth forth evils. I say unto you, that every idle word which men shall
XIV	36	Matt. xii. 37	speak, they shall give an answer for in the day of judgement: for by thy sayings thou shalt be justified, and by thy sayings thou shalt be judged.
XIV	37	Luke xii. 54	And he said to the multitudes, When ye see the clouds appear from the west,
XIV	38	Luke xii. 55	straightway ye say that there cometh rain; and so it cometh to pass. And when
XIV	39	Matt. xvi. 2	the south wind bloweth, ye say that there will be heat; and it cometh to pass. And when the evening is come, ye say, It will be fair weather, for the heaven has become
XIV	40	Matt. xvi. 3; Matt. xvi. 4	red. And in the morning ye say, To-day there will be severe weather, for the redness of the heaven is paling. Ye hypocrites, ye know to examine the face of the heaven and the earth; but the signs of this time ye know not to discern.
XIV	41	Matt. xii. 22	Then they brought to him one possessed of a demon, dumb and blind; and he
XIV	42	Matt. xii. 23	healed him, so that the dumb and blind began to speak and see. And all the multitudes wondered, and said, Is this, think you, the son of David?
XIV	43	Mark vi. 30	And the apostles returned unto Jesus, and told him everything that they had
XIV	44	Mark vi. 31	done and wrought. And he said unto them, Come, let us go into the desert alone, and rest ye a little. And many were going and returning, and they had not leisure, not even to eat bread.
XIV	45	Luke vii. 36	And after that, there came to him one of the Pharisees, and besought him that he would eat bread with him. And he entered into the house of that Pharisee, and
XIV	46	Luke vii. 37	reclined. And there was in that city a woman that was a sinner; and when she knew that he was sitting in the house of that Pharisee, she took a box of sweet ointment,
XIV	47	Luke vii. 38	and stood behind him, towards his feet, weeping, and began to wet his feet with her tears, and to wipe them with the hair of her head, and to kiss his feet, and
XIV	48	Luke vii. 39	anoint them with the sweet ointment. And when that Pharisee saw it, who invited him, he thought within himself, and said, This man, if he were a prophet, would know who she is and what is her history: for the woman which touched him was a sinner. Footnotes[edit]
XV	1	Luke vii. 40	Jesus answered and said unto him, Simon, I have something to say unto thee. And
XV	2	Luke vii. 41	he said unto him, Say on, my Master. Jesus said unto him, There were two debtors to one creditor; and one of them owed five hundred pence, and the other
XV	3	Luke vii. 42	owed fifty pence. And because they had not wherewith to pay, he forgave
XV	4	Luke vii. 43	them both. Which of them ought to love him more? Simon answered and said, I suppose, he to whom he forgave most. Jesus said unto him, Thou hast judged rightly.
XV	5	Luke vii. 44	And he turned to that woman, and said to Simon, Dost thou see this woman? I entered into thy dwelling, and thou gavest me not water to wash my feet: but this
XV	6	Luke vii. 45	woman hath bathed my feet with her tears, and dried them with her hair. And thou kissedst me not: but this woman, since she entered, hath not ceased to kiss my
XV	7	Luke vii. 46	feet. And thou anointedst not my head with oil: but this woman hath anointed
XV	8	Luke vii. 47	my feet with sweet ointment. And for this, I say unto thee, Her many sins are forgiven her, because she loved much; for he to whom little is forgiven loveth little.
XV	9, 10	Luke vii. 48; Luke vii. 49	And he said unto that woman, Thy sins are forgiven thee. And those that were invited
XV	11	Luke vii. 50	began to say within themselves, Who is this that forgiveth sins also? And Jesus said to that woman, Thy faith hath saved thee; go in peace.
XV	12	John ii. 23	And many believed in him when they saw the signs which he was doing.
XV	13, 14	John ii. 24; John ii. 25	But Jesus did not trust himself to them, for he knew every man, and he needed not any man to testify to him concerning every man; for he knew what was in man.
XV	15	Luke x. 1	And after that, Jesus set apart from his disciples other seventy, and sent them two and two before his face to every region and city whither he was purposing to
XV	16	Luke x. 2	go. And he said unto them, The harvest is abundant, and the labourers are few:
XV	17	Luke x. 3	entreat now the Lord of the harvest, that he send forth labourers into his harvest. Go
XV	18	Luke x. 4	ye: and lo, I am sending you as lambs among wolves. Take not with you
XV	19	Luke x. 5	purses, nor a wallet, nor shoes; neither salute any man in the way. And
XV	20	Luke x. 6	whatsoever house ye enter, first salute that house: and if there be there a son of peace,
XV	21	Luke x. 7	let your peace rest upon him; but if there be not, your peace shall return to you. And be ye in that house eating and drinking what they have: for the labourer is worthy of
XV	22	Luke x. 8	his hire. And remove not from house to house. And into whatsoever city ye enter,
XV	23	Luke x. 9	and they receive you, eat what is presented to you: and heal the sick that are
XV	24	Luke x. 10	therein, and say unto them, The kingdom of God is come near unto you. But whatsoever city ye enter, and they receive you not, go out into the market, and say,
XV	25	Luke x. 11	Even the dust that clave to our feet from your city, we shake off against you; but
XV	26	Luke x. 12	know this, that the kingdom of God is come near unto you. I say unto you, that for Sodom there shall be quiet in the day of judgement, but there shall not be for
XV	27	Matt. xi. 20	that city. Then began Jesus to rebuke the cities in which there had been many
XV	28	Matt. xi. 21	mighty works, and they repented not. And he said, Woe unto thee, Chorazin! woe unto thee, Bethsaida! if there had been in Tyre and Sidon the signs which were in
XV	29	Matt. xi. 22	thee, it may be that they would have repented in sackcloth and ashes. Howbeit I say unto you, that for Tyre and Sidon there shall be rest in the day of judgement,
XV	30	Matt. xi. 23	more than for you. And thou, Capernaum, which art exalted unto heaven, shalt sink down unto Hades; for if there had been in Sodom the wonders which were
XV	31	Matt. xi. 24	in thee, it would have remained until this day. And now I say unto thee, that for the land of Sodom there shall be quiet in the day of judgement, more than for thee.
XV	32	Luke x. 16	And he said again unto his apostles, Whosoever heareth you heareth me; and whosoever heareth me heareth him that sent me: and whosoever wrongeth you wrongeth me; and whosoever wrongeth me wrongeth him that sent me.
XV	33	Luke x. 17	And those seventy returned with great joy, and said unto him, Our Lord, even
XV	34	Luke x. 18	the devils also are subject unto us in thy name. He said unto them, I beheld
XV	35	Luke x. 19	Satan fallen like lightning from heaven. Behold, I am giving you authority to tread upon serpents and scorpions, and the whole race of the enemy; and nothing shall
XV	36	Luke x. 20	hurt you. Only ye must not rejoice that the devils are subject unto you; but be glad that your names are written in heaven.
XV	37	Luke x. 21	And in that hour Jesus rejoiced in the Holy Spirit, and said, I acknowledge thee, my Father, Lord of heaven and earth, that thou didst hide these things from the wise and understanding, and didst reveal them unto children: yea, my Father; so
XV	38	Luke x. 22	was thy will. And he turned to his disciples, and said unto them, Everything hath been delivered to me of my Father: and no man knoweth who the Son is, save the Father; and who the Father is, save the Son, and to whomsoever the Son willeth
XV	39	Matt. xi. 28	to reveal him. Come unto me, all of you, ye that are wearied and bearers of burdens,
XV	40	Matt. xi. 29	and I will give you rest. Bear my yoke upon you, and learn of me; for I
XV	41	Matt. xi. 30	am gentle and lowly in my heart: and ye shall find rest unto your souls. For my yoke is pleasant, and my burden is light.
XV	42	Luke xiv. 25	And while great multitudes were going with him, he turned, and said unto them,
XV	43	Luke xiv. 26	Whosoever cometh unto me, and hateth not his father, and his mother, and his brethren, and his sisters, and his wife, and his children, and himself also, cannot
XV	44	Luke xiv. 27	be a disciple to me. And whosoever doth not take his cross, and follow
XV	45	Luke xiv. 28	me, cannot be a disciple to me. Which of you desireth to build a tower, and doth not sit down first and reckon his expenses and whether he hath enough to
XV	46	Luke xiv. 29	complete it? lest when he hath laid the foundations, and is not able to finish, all that
XV	47	Luke xiv. 30	behold him laugh at him, and say, This man began to build, and was not able to
XV	48	Luke xiv. 31	finish. Or what king goeth to the battle to fight with another king, and doth not consider first whether he is able with ten thousand to meet him that cometh to him
XV	49	Luke xiv. 32	with twenty thousand? And if he is not able, he sendeth unto him while he is afar
XV	50	Luke xiv. 33	off, and seeketh peace. So shall every man of you consider, that desireth to be a disciple to me; for if he renounceth not all that he hath, he cannot be a disciple to me. Footnotes[edit]
XVI	1	Matt. xii. 38	Then answered certain of the scribes and Pharisees, that they might tempt him,
XVI	2	Matt. xii. 39	and said, Teacher, we desire to see a sign from thee. He answered and said, This evil and adulterous generation seeketh a sign; and it shall not be given a sign,
XVI	3	Luke xi. 30	except the sign of Jonah the prophet. And as Jonah was a sign to the inhabitants
XVI	4	Matt. xii. 40	of Nineveh, so shall the Son of man also be to this generation. And as Jonah was in the belly of the great fish three days and three nights, so shall the Son of man
XVI	5	Luke xi. 31	be in the heart of the earth three days and three nights. The queen of the south shall rise in the judgement with the people of this generation, and condemn them: for she came from the ends of the earth that she might hear the wisdom of Solomon;
XVI	6	Matt. xii. 41	and behold, here is a better than Solomon. The men of Nineveh shall stand in the judgement with this generation, and condemn it: for they repented at
XVI	7	Luke xi. 24	the preaching of Jonah; and behold, here is a greater than Jonah. The unclean spirit, when he goeth out of the man, departeth, and goeth about through places wherein are no waters, that he may find rest for himself; and when he findeth it not, he
XVI	8	Luke xi. 25	saith, I will return to my house whence I came out. And if he come and find it
XVI	9	Luke xi. 26	adorned and set in order, then he goeth, and associateth with himself seven other spirits worse than himself; and they enter and dwell in it: and the end of that man
XVI	10	Matt. xii. 45	shall be worse than his beginning. Thus shall it be unto this evil generation.
XVI	11	Luke xi. 27	And while he was saying that, a woman from the multitude lifted up her voice, and said unto him, Blessed is the womb that bare thee, and the breasts that nursed
XVI	12	Luke xi. 28	thee. But he said unto her, Blessed is he that heareth the word of God, and keepeth it.
XVI	13	Matt. xii. 46	And while he was speaking unto the multitude, there came unto him his mother
XVI	14	Matt. xii. 46	and his brethren, and sought to speak with him; and they were not able, because of
XVI	15	Mark iii. 31	the multitude; and they stood without and sent, calling him unto them. A man said unto him, Behold, thy mother and thy brethren are standing without, and seek to
XVI	16	Matt. xii. 48	speak with thee. But he answered unto him that spake unto him, Who is my
XVI	17	Matt. xxii. 49	mother? and who are my brethren? And he beckoned with his hand, stretching it out towards his disciples, and said, Behold, my mother! and behold, my brethren!
XVI	18	Matt. xii. 50	And every man that shall do the will of my Father which is in heaven is my brother, and my sister, and my mother.
XVI	19	Luke viii. 1	And after that, Jesus was going about in the cities and in the villages, and proclaiming and preaching the kingdom of God, and his twelve with him,
XVI	20	Luke viii. 2	and the women which had been healed of diseases and of evil spirits, Mary
XVI	21	Luke viii. 3	that was called Magdalene, from whom he had cast out seven devils, and Joanna the wife of Chuza Herod’s steward, and Susanna, and many others, who were ministering to them of their substance.
XVI	22	Matt. xiii. 1; Matt. xiii. 2	And after that, Jesus went out of the house, and sat on the sea shore. And there
XVI	23		gathered unto him great multitudes. And when the press of the people was great upon him, he went up and sat in the boat; and all the multitude was standing on the
XVI	24	Matt. xiii. 3	shore of the sea. And he spake to them much in parables, and said, The sower
XVI	25	Matt. xiii. 4	went forth to sow: and when he sowed, some fell on the beaten highway; and it was
XVI	26	Matt. xiii. 5	trodden upon, and the birds ate it. And other fell on the rocks: and some, where there was not much earth; and straightway it sprang up, because it had no depth in
XVI	27	Matt. xiii. 6	the earth: and when the sun rose, it withered; and because it had no root, it dried
XVI	28	Luke viii. 7	up. And some fell among thorns; and the thorns sprang up with it, and choked it;
XVI	29	Luke viii. 8	and it yielded no fruit. And other fell into excellent and good ground; and it came up, and grew, and brought forth fruit, some thirty, and some sixty, and some
XVI	30	Luke viii. 8	a hundred. And when he said that, he cried, He that hath ears that hear, let him
XVI	31	Mark iv. 10	hear. And when they were alone, his disciples came, and asked him, and said unto
XVI	32	Mark iv. 11	him, What is this parable? and why spakest thou unto them in parables? He answered and said unto them, Unto you is given the knowledge of the secrets of the kingdom of God; but it is not given unto them that are
XVI	33	Matt. xiii. 12	without. He that hath shall be given unto, and there shall be added; and he that
XVI	34	Matt. xiii. 13	hath not, that which he hath shall be taken from him also. For this cause therefore I speak unto them in parables; because they see, and see not; and hear, and hear
XVI	35	Matt. xiii. 14	not, nor understand. And in them is being fulfilled the prophecy of Isaiah, who said, Hearing they shall hear, and shall not understand; And seeing they shall see, and shall not perceive:
XVI	36	Matt. xiii. 15	The heart of this people is waxed gross, And their hearing with their ears is become heavy, And they have closed their eyes; Lest they should see with their eyes, And hear with their ears, And understand with their hearts, And should return, And I should heal them.
XVI	37, 38	Matt. xiii. 16; Luke x. 23	But ye, blessed are your eyes, which see; and your ears, which hear. Blessed
XVI	39	Matt. xiii. 17	are the eyes which see what ye see. Verily I say unto you, Many of the prophets and the righteous longed to see what ye see, and saw not; and to hear what ye
XVI	40	Mark iv. 13	hear, and heard not. When ye know not this parable, how shall ye know all parables?
XVI	41, 42	Matt. xiii. 18; Mark iv. 14	Hear ye the parable of the sower. The sower which sowed, sowed the word
XVI	43	Matt. xiii. 19	of God. Every one who heareth the word of the kingdom, and understandeth it not, the evil one cometh and snatcheth away the word that hath been sown in his
XVI	44	Matt. xiii. 20	heart: and this is that which was sown on the middle of the highway. But that which was sown on the rocks is he that heareth the word, and straightway receiveth
XVI	45, 46	Matt. xiii. 21; Luke viii. 13	it with joy; only, it hath no root in his soul, but his belief in it is for a time; and whenever there is distress or persecution because of a word, he
XVI	47	Matt. xiii. 22; Mark iv. 19	stumbleth quickly. And that which was sown among the thorns is he that heareth the word; and the care of this world, and the error of riches, and the rest of the
XVI	48	Luke viii. 15; Matt. xiii. 23	other lusts enter, and choke the word, and it becometh without fruit. And that which was sown in good ground is he that heareth my word in a pure and good heart, and understandeth it, and holdeth to it, and bringeth forth fruit with patience, and produceth either a hundredfold or sixtyfold or thirty.
XVI	49	Mark iv. 26	And he said, So is the kingdom of God, like a man who casteth seed into the
XVI	50	Mark iv. 27	earth, and sleepeth and riseth by night and day, and the seed groweth and cometh
XVI	51	Mark iv. 28	up, whence he knoweth not. And the earth bringeth it to the fruit; and first it
XVI	52	Mark iv. 29	will be blade, and after it ear, and at last perfect wheat in the ear: and whenever the fruit ripeneth, he bringeth immediately the sickle, for the harvest hath come. Footnotes[edit]
XVII	1	Matt. xiii. 24	And he set forth to them another parable, and said, The kingdom of heaven is
XVII	2	Matt. xiii. 25	like a man who sowed good seed in his field; but when men slept, his enemy came
XVII	3	Matt. xiii. 26	and sowed tares among the wheat, and went away. And when the blade sprang up
XVII	4	Matt. xiii. 27	and brought forth fruit, there were noticed the tares also. And the servants of the master of the house came, and said unto him, Our lord, didst thou not sow good
XVII	5	Matt. xiii. 28	seed in thy field? whence are there tares in it? He said unto them, An enemy hath done this. His servants said unto him, Wilt thou that we go
XVII	6	Matt. xiii. 29	and separate it? He said unto them, Perhaps, when ye separate the tares, ye would
XVII	7	Matt. xiii. 30	root up with them wheat also. Leave them to grow both together until the harvest: and in the time of the harvest I will say unto the reapers, Separate the tares first, and bind them in bundles to be burned with fire; and gather the wheat into my barns.
XVII	8, 9	Matt. xiii. 31; Luke xiii. 18	And he set forth to them another parable, and said, To what is the kingdom of
XVII	10	Mark iv. 30	God like? and to what shall I liken it? and in what parable shall I set it forth? It
XVII	11	Matt. xiii. 31	is like a grain of mustard seed, which a man took, and planted in his field: and of the number of the things that are sown in the earth it is smaller than all of the things
XVII	12	Matt. xiii. 32	which are sown, which are upon the earth; but when it is grown, it is greater than all the herbs, and produceth large branches, so that the birds of heaven make their nests in its branches.
XVII	13, 14	Mark iv. 33; Luke xiii. 20	And he set forth to them another parable: To what shall I liken the kingdom of
XVII	15	Matt. xiii. 33	God? It is like the leaven which a woman took, and kneaded into three measures of flour, until the whole of it was leavened.
XVII	16	Matt. xiii. 34	And Jesus spake all that to the multitudes by way of parables, according as they
XVII	17	Matt. xiii. 34	were able to hear. And without parables spake he not unto them; that the saying of the Lord through the prophet might be fulfilled: I will open my mouth in parables; And I will utter secrets which were before the foundations of the world.
XVII	18	Mark iv. 34	But he explained to his disciples privately everything.
XVII	19	Matt. xiii. 36	Then Jesus left the multitudes, and came to the house. And his disciples came unto him, and said unto him, Explain unto us that parable about the tares
XVII	20	Matt. xiii. 37	and the field. He answered and said unto them, He that sowed good seed is
XVII	21	Matt. xiii. 38	the Son of man; and the field is the world; and the good seed are the children of the
XVII	22	Matt. xiii. 39	kingdom; and the tares are the children of the evil one; and the enemy that sowed them is Satan; and the harvest is the end of the world; and the reapers are the angels.
XVII	23	Matt. xiii. 40	And as the tares are separated and burned in the fire, so shall it be in the end of
XVII	24	Matt. xiii. 41	this world. The Son of man shall send his angels, and separate from his kingdom
XVII	25	Matt. xiii. 42	all things that injure, and all the doers of iniquity, and they shall cast them into the
XVII	26	Matt. xiii. 43	furnace of fire: and there shall be weeping and gnashing of teeth. Then the righteous shall shine as the sun in the kingdom of their Father. Whosoever hath ears that hear, let him hear.
XVII	27	Matt. xiii. 44	And again the kingdom of heaven is like treasure hid in a field: that which a man found and hid; and, for his pleasure in it, went and sold all that he had, and bought that field.
XVII	28	Matt. xiii. 45	And again the kingdom of heaven is like a man that is a merchant seeking excellent
XVII	29	Matt. xiii. 46	pearls; and when he found one pearl of great price, he went and sold everything that he had, and bought it.
XVII	30	Matt. xiii. 47	And again the kingdom of heaven is like a net that was cast into the sea, and
XVII	31	Matt. xiii. 48	gathered of every kind: and when it was filled, they drew it up on to the shore of the sea, and sat down to select; and the good of them they threw into the vessels,
XVII	32	Matt. xiii. 49	and the bad they threw outside. Thus shall it be in the end of the world: the angels
XVII	33	Matt. xiii. 50	shall go forth, and separate the wicked from among the good, and shall cast them into the furnace of fire: there shall be weeping and gnashing of teeth.
XVII	34	Matt. xiii. 51	Jesus said unto them, Have ye understood all these things? They said unto
XVII	35	Matt. xiii. 52	him, Yea, our Lord. He said unto them, Therefore every scribe that becometh a disciple of the kingdom of heaven is like a man that is a householder, who bringeth out of his treasures the new and the old.
XVII	36, 37	Matt. xiii. 53; Matt. xiii. 54	And when Jesus had finished all these parables, he removed thence, and came to his city; and he taught them in their synagogues, so that they were perplexed.
XVII	38	Mark vi. 2	And when the sabbath came, Jesus began to teach in the synagogue; and many of
XVII	39		those that heard marvelled, and said, Whence came these things to this man? And many envied him and gave no heed to him, but said, What is this wisdom that is given to this man, that there should happen at his hands such as these mighty works?
XVII	40	Matt. xiii. 55	Is not this a carpenter, son of a carpenter? and is not his mother called Mary? and
XVII	41	Matt. xiii. 56	his brethren, James, and Joses, and Simon, and Judas? And his sisters, all of them,
XVII	42	Matt. xiii. 57; Luke iv. 23	lo, are they not all with us? Whence hath this man all these things? And they were in doubt concerning him. And Jesus knew their opinion, and said unto them, Will ye haply say unto me this proverb, Physician, heal first thyself: and all that
