book	witness	ref	cal_text	syriac_text
Matthew	Sinaiticus	01:20	kd hlyn dyn )tr(y )txzy lh ml)k) dmry) bxzw) w)mr lh ywsp brh ddwyd l) tdxl lmsb lmrym )nttk hw gyr dmtyld mnh mn rwx) hw dqwd$)	ܕܡܝܐ ܡܠܟܘܬܐ ܕܫܡܝܐ ܠܓܒܪܐ ܡܪܒܝܬܐ ܕܢܦܩ ܒܫܦܪܐ ܠܡܐܓܪ ܦܥ̈ܠܐ ܠܟܪܡܗ܂
Matthew	Sinaiticus	01:21	t)ld lk dyn br) wtqr) $mh y$w( hw gyr nxywhy l(mh mn xThw:hy,	
Matthew	Sinaiticus	01:23	h) btwlt) tbTn wt)ld br) wnqrwn $mh (mnw)yl dmtrgm )lhn (mn	ܗܝܕܝܢ ܐܡܪ ܝܫܘܥ ܠܟܢܫܐ ܘܠܬܠܡܝܕܘܗܝ
Matthew	Sinaiticus	01:24	kd qm dyn ywsp mn $nth (bd )yk dpqd lh ml)k) dmry) wdbr l)ntth	ܘܟܕ ܢܦܩ ܝܫܘܥ ܡܢ ܗܝܟܠܐ ܠܡܐܙܠ܂ ܘܩܪܒܘ ܬܠܡܝܕܘܗܝ܂ ܡܚܘܝܢ ܠܗ ܒܢܝܢܐ ܕܗܝܟܠܐ
Matthew	Sinaiticus	01:25	wyldt lh br) wqr) $mh y$w(%	ܗܝܕܝܢ ܬܬܕܡܐ ܡܠܟܘܬܐ ܕܫܡܝܐ ܠܥܣܪ̈ ܒܬܘܠܢ ܕܫܩܠ ܠܡܦܕܝ̈ܗܝܢ ܘܢܦܩ ܠܐܘܪܥ ܚܬܢܐ ܘܟܠܬܐ
Matthew	Sinaiticus	02:05	)mr:yn lh byt lxm dyhwd), hkn) gyr ktyb bnby)	ܘܫܪܝ ܠܡܐܡܪ ܠܗܘܢ܀
Matthew	Sinaiticus	02:06	w)p )nty byt lxm dyhwd) l) hwyt bcyr) mn m:lk) dyhwd) mnky gyr npwq mlk) dhw nr(ywhy l(my )ysryl	ܡܐ ܕܥܒܕ ܐܢܬ ܙܕܩܬܐ ܠܐ ܬܩܪܐ ܩܪܢܐ ܩܕܡܝܟ ܐܝܟ ܕܥܒܕܝܢ ܢܣܒܝܢ ܒܐ̈ܦܐ ܒܟܢܘܫ̈ܬܐ܂ ܘܒܫܩܩܐ܂ ܕܢܫܬܒܚܘܢ ܡܢ ܒ̈ܢܝ ܐܢܫܐ ܐܡܝܢ ܐܡܪܢܐ ܠܟܘܢ ܕܩܒܠܘ ܐܓܪܗܘܢ܂
Matthew	Sinaiticus	02:07	hydyn hrwds mT$y)yt qr) lhnwn mgw:$) wm(qb hw) lhwn dnd( b)yn) zbn) )txzy lhwn kwkb),	
Matthew	Sinaiticus	02:08	w$dr )nwn lbyt lxm, w)mr lhwn zlw (qbw (lwhy (l Tly), wm) d)$kxtwnyhy tw xwwnny d)zl )p )n) )sgwd lh	
Matthew	Sinaiticus	02:09	hnwn dyn kd qblw pwqdn) dmlk) )zlw w)txzy lhwn kwkb) hw dxzw hww bmdnx), )zl hw) qdmyhwn (dm) d)t) qm )tr dtmn hw) Tly),	ܘܐܙܠܘ ܠܗܘܢ ܘܩܪܒܘ ܡܫܪܝܐ ܟܕ ܪܡܐ ܒܥܪܣܐ ܘܟܕ ܚܙܐ ܡܪܢ ܗܝܡܢܘܬܗܘܢ ܐܡܪ ܠܗܘ ܡܫܪܝܐ ܠܐ ܬܕܚܠ ܒܪܝ ܫܒܝܩܝܢ ܠܟ ܚܛܗܝܟ
Matthew	Sinaiticus	02:10	hnwn dyn kd xzwwhy lkwkb) xdwt) rbt) xdyw	ܘܗ̈ܠܝܢ ܫܡܗܐ ܕܬܠܡ̈ܝܕܘܗܝ ܬܪ̈ܥܣܪ܂ ܩܕܡܝܐ ܫܡܥܘܢ ܟܐܦܐ ܘܐܢܕܪܝܘܣ ܐܚܘܗܝ ܘܝܥܩܘܒ ܘܝܘܚܢܢ ܒ̈ܢܝ ܙܒܕܝ
Matthew	Sinaiticus	02:11	w(lw lbyt) wxzwwhy lTly) (m mrym )mh wnplw wsgdw lh, wptxw symthwn wqrbw lh qwrbn) dhb) wmwr) wlbwnt)	ܝܘܚܢܢ ܕܝܢ ܟܕ ܫܡܥ ܒܝܬ ܐܣܝܪܐ ܥܒܕܘܗܝ ܕܡܪܢ ܫܕܪ ܠܬܠܡܝܕܘܗܝ
Matthew	Sinaiticus	02:12	w)txzy lhwn bxzw) dl) nhpkwn lwt hrwds, whnwn b)wrx) )xrt) )zlw l)trhwn	ܟܕ ܚܙܘ ܐܢܘܢ ܦܪܝܫܐ ܐܡܪܝܢ ܠܗ ܠܡܢܐ ܬܠܡܝܕܝܟ ܥܒܕܝܢ ܡܕܡ ܕܠܐ ܫܠܝܛ ܠܡܥܒܕ
