book	witness	ref	cal_text	syriac_text
Luke	Sinaiticus	01:39	wqmt mrym bhwn bywmt) hnwn wslqt bbTylwt) lTwr) lkrk) dyhwd	
Luke	Sinaiticus	01:40	w(lt lbyth dzkry) w$)lt b$lmh d)ly$b(	
Luke	Sinaiticus	01:42	wbql) rm) q(t w)mrt lmrym )nty hy brykt bn:$) wmbrk hw p)r) dbkrsky,	
Luke	Sinaiticus	01:43	mnw (bd ly hd) d)mh dmry t)t) lwty,	
Luke	Sinaiticus	01:44	h) gyr kd npl ql) d$lmky b)dny bxdwt) rbt) dc (wl) bkrsy	
Luke	Sinaiticus	01:45	wTwbyh l)yd) dthymn dhw) $wlm) l)ylyn d)tmll (mh mn lwt mry)	
Luke	Sinaiticus	01:46	w)mr) mrym mwrb) np$y lmry)	
Luke	Sinaiticus	01:49	d(bd lwty rwrbt), hw )yn) dm$bx wqdy$ $m)	
Luke	Sinaiticus	01:50	dxnnh (d dr) w(l $rbt) lddxlyn lh	
Luke	Sinaiticus	01:54	w)tbTl lh (l )ysr)yl brh, w)tdkr xnnh	
Luke	Sinaiticus	01:55	)ykn) dmll (m )bhyn (m )brhm w(m zr(h l(lm,	
Luke	Sinaiticus	01:56	qwyt dyn mrym lwt )ly$b(, )yk yrx) tlt:) whpkt lbyth	
Luke	Sinaiticus	01:57	wkd $lm zbn) dmwldh d)ly$b( yldt br)	
Luke	Sinaiticus	01:59	whw) ywm) dtm:ny) )tw lmgzrh dTly), wqryn hww lh b$m) d)bwhy zkry)	
Luke	Sinaiticus	01:60	w)mrt )mh dl) hkn) )l) ntqr) ywxnn,	
Luke	Sinaiticus	01:61	w)mr:yn lh lyt )n$ b$rbtky dmtqr) b$m) hn) ywxnn,	
Luke	Sinaiticus	01:62	w)mrw hww )p l)bwhy d)ykn) cb) dntqr),	
Luke	Sinaiticus	01:63	w$)l pnqyt) wktb bh dywxnn hw $mh	
Luke	Sinaiticus	01:64	wbh b$(t) )$try )swr) dl$nh, wbrk l)lh) wtmyhw kwlhwn,	
Luke	Sinaiticus	01:65	whwt dxlt) (l klhwn $bbyhwn wbklh Twr) dyhwd hlyn mtmlln hwy	
Luke	Sinaiticus	01:67	w)tmly zkry) )bwhy brwx) dqwd$) w)tnby w)mr	
Luke	Sinaiticus	01:68	mbrk hw )lhh d)ysr)yl ds(r l(mh, w(bd lh pwrqn),	
Luke	Sinaiticus	01:69	w)qym ln qrn) dxy:) bbyth ddwyd (bdh	
Luke	Sinaiticus	01:70	)ykn) dmll bpwm) dnby:why qdy$:) dmn (lm,	
Luke	Sinaiticus	01:72	dn(bd xnn) (m )bhyn w)tdkr ldytqwhy qdy$t)	
Luke	Sinaiticus	01:73	mwmt) dym) l)brhm )bwn dntl ln	
Luke	Sinaiticus	01:74	ddl) dxl) ntprq mn )yd) db(ldb:byn dnplx qdmwhy	
Luke	Sinaiticus	01:75	bk)nwt) wbzdyqwt) klhwn ywmt) dxy:yn,	
Luke	Sinaiticus	01:76	w)nt Tly) nbyh d(ly) ttqr) t)zl qdm prcwph dmry) lmTybw )wrxth	
Luke	Sinaiticus	01:78	mTl xnn) drxmwhy d)lhn dbhwn ns(rn mdnx) mn rwm),	
Luke	Sinaiticus	01:79	tnhr l)ylyn dbx$wk) wbT:llwhy dmwt) ytbyn dntrwc r:glyn b)wrx) d$lm),	
Luke	Sinaiticus	02:03	kwl )n$ dyn )zl hw) lmtktbw )p mn mdynth )zl hw) l)trh dtmn ntktb	ܒܪܒܘܬ ܟܗܢܘܬܐ ܕܚܢܢ ܘܕܩܝܦܐ܂ ܗܘܬ ܡܠܬܐ ܕܐܠܗܐ ܥܠ ܝܘܚܢܢ ܒܪ ܙܟܪܝܐ
Luke	Sinaiticus	02:04	w)p ywsp slq hw) mn ncrt mdynt) dglyl) lyhwd lmdynth ddwyd dmtqry) byt lxm mTl dtryhwn mn byth hww ddwyd	ܕܢܬܢܣܐ ܡܢ ܣܛܢܐ܂ ܘܗܘܐ ܬܡܢ ܝܘܡ̈ܬܐ ܐܪ̈ܒܥܝܢ ܘܡܢ ܒܬܪ ܐܪ̈ܒܥܝܢ ܝܘܡܬܐ ܕܨܐܡ ܗܘܐ ܟܦܢ
Luke	Sinaiticus	02:05	hw wmrym )ntth kd bTn) dtmn ntktbwn	ܘܚܙܐ ܬܪܬܝܢ ܣܦܝܢܐ ܕܩܝܡܢ ܥܠ ܓܢܒ ܝܡܬܐ ܘܨܝܕܝܗ ܕܣܠܩܘ ܡܢܗ̈ܝܢ ܘܡܫܝܓܝܢ ܗܘܘ ܡܨܝܕܬܗܘܢ
Luke	Sinaiticus	02:06	wkd tmn )nwn )tmlyw yw:mth lm)ld	
Luke	Sinaiticus	02:10	)mr lhwn ml)k) l) tdxlwn mTl dh) msbrn) lkwn xdwt) rbt) dthw) lklh (lm)	ܐܡܪ ܠܗܘܢ ܚܨܕܐ ܣܓܝ ܘܦܥܠܐ ܙܥܘܪܝܢ ܒܥܘ ܡܢ ‍{‍ܒ‍}‍‍<‍ܡ‍>‍ܪܗ ܕܚܨܕܐ ܐܝܟ ܕܢܦܩ ܦܥܠܐ ܠܚܨܕܗ
Luke	Sinaiticus	02:12	h) yhbn) lkwn )t) m$kxyn )ntwn Tly) kd kryk b(zr:wr) wsym b)wry)	ܠܝܬ ܓܝܪ ܡܕܡ ܕܟܣܐ ܕܠܐ ܢܬܓܠܐ ܘܠܐ ܕܡܛܫܝ ܕܠܐ ܢܬܝܕܥ܂
Luke	Sinaiticus	02:13	wmn $ly) )txzyw lwth xyl) wml)k) d$my) sgy)) m$bxyn l)lh) w)mr:yn,	ܥܢܐ ܝܫܘܥ ܘܐܡܪ ܠܗܘܢ ܣܒܪܝܢ ܐܢܬܘܢ ܕܗܠܝܢ ܓܠܠܝܐ ܚܛܝܝܢ ܗܘܘ ܝܬܝܪ ܡܢ ܟܘܠܗܘܢ ܓܠܠܝܐ ܕܗܟܢܐ ܗܘܐ ܐܢܘܢ
Luke	Sinaiticus	02:14	$wbx) l)lh) bmrwm) w$lm) b)r() w)r(wt) lbny )n$)%	ܘܓܒܪܐ ܗܕܪܘܦܝܩܘܣ ܐܝܬ ܗܘܐ ܩܕܡܘܗܝ
Luke	Sinaiticus	02:15	mn btr d)zlw mn lwthwn ml)k) hnwn l$my) )mryn hww r(wt) xd lxd tw ntxzq lbyt lxm wnxz) hn) m) dhw) )ykn) dml)k) xwyn	ܘܣܦܪ̈ܐ ܘܦܪ̈ܝܫܐ ܪܛܢܝܢ ܗܘܘ ܘܐܡܪ̈ܝܢ ܗܢܐ ܠܚܛܝܐ ܡܩܒܠ ܘܐܟܠ ܥܡܗܘܢ
Luke	Sinaiticus	02:17	w)$t(yw mdm d)tmll (mhwn (lwhy (l Tly)	ܦܩܚ ܗܘܐ ܠܗ ܐܠܘ ܪܚܝܐ ܕܚܡܪܐ ܬܠܝܐ ܒܨܘܪܗ ܘܫܕܐ ܒܝܡܐ ܐܘ ܢܟܫܠ ܠܚܕ ܡܢ ܗܠܝܢ ܙܥܘܪ̈ܐ
Luke	Sinaiticus	02:18	kl )n$ dyn d$m( hw) mn r:(wt) kd m$t(yn hww (l )ylyn dxzw w$m(w tmyhyn hww wmtdmryn	ܕܝܢܐ ܚܕ ܐܝܬ ܗܘܐ ܒܡܕܝܢܬܐ܂ ܕܡܢ ܐܠܗܐ ܠܐ ܕܚܠ ܗܘܐ ܘܡܢ ܒܪ ܐܢܫܐ ܠܐ ܡܬܟܚܕ ܗܘܐ
Luke	Sinaiticus	02:19	mrym dyn kl mdm sym) hwt blbh wmpxm) hwt br(ynh	ܘܓܒܪܐ ܚܕ ܕܫܡܗ ܗܘܐ ܙܟܝ ܘܪܒ ܡܟܣܐ ܗܘܐ ܘܥܬܝܪ ܗܘܐ
Luke	Sinaiticus	02:20	whpkw r:(wt) hnwn kd m$bxyn l)lh) wmmllyn (l )ylyn dxzw w$m(w )ykn) d)t)mr lhwn%	ܘܐܡܪ̈ܝܢ ܠܗ ܒܐܝܢܐ ܫܘܠܛܢܐ ܗܠܝܢ ܥܒܕ ܐܢܬ ܐܘ ܡܢܘ ܝܗܒ ܠܟ ܗܢܐ ܫܘܠܛܢܐ
Luke	Sinaiticus	02:21	wkd mlw tmn:y) ywm:yn )tgzr Tly) w)tqry $mh y$w( )ykn) d)t)mr mn ml)k) mn qdm dntbTn bkrs)	ܘܚܙܐ ܐܦ ܐܢܬܬܐ ܚܕܐ ܡܣܟܢܬܐ ܘܐܪܡܝܬ ܫܡܘܢܐ ܬܪܝܢ
Luke	Sinaiticus	02:23	)ykn) dktyb bnmws) dmry) dkl bwkr) ptx mrb() qdy$h dmry) ntqr)	ܘܫܪܝܘ ܐܟܠܝܢ ܩܪܨܘܗܝ܂ ܘܐܡܪܝܢ ܐܫܟܚܢ ܠܗܢܐ ܕܡܗܦܟ ܥܡܢ ܘܟܠܐ ܠܢ ܕܟܣܦ ܪܫܐ ܠܩܣܪ ܠܐ ܢܬܠ܂ ܘܐܡܪ ܥܠ ܢܦܫܗ ܕܗܘܝܘ ܡܠܟܐ ܡܫܝܚܐ܂
Luke	Sinaiticus	02:24	wdntl dbxt) )ykn) dktyb bnmws) dmry) zwg) d$w:pnyn) )w tr:yn pr:wg) dywn)%	ܘܐܫܟܚ ܠܟܐܦܐ ܕܡܥܓܠܐ ܡܢ ܒܝܬ ܩܒܘܪܐ܂
Luke	Sinaiticus	02:26	w)myr hw) lh mn hy rwx) qdy$t) dmwt) l) nxz) (dm) dnxz) lm$yxh dmry)	
Luke	Sinaiticus	02:27	w)t) brwx) lhykl) wkd m(lyn lh )bhwhy ly$w( Tly) dn(bdwn lh )ykn) dpqyd b)wryt)	
Luke	Sinaiticus	02:28	hw $m(wn qblh (l dr(why wbrk l)lh) w)mr	
Luke	Sinaiticus	02:29	mkyl $r) )nt lh mry b$lm) l(bdk )ykn) d)mrt	
Luke	Sinaiticus	02:30	dh) xzy (y:ny xnnk	
Luke	Sinaiticus	02:31	hw dTybt qdm prcwp) dklhwn (mm)	
Luke	Sinaiticus	02:32	nwhr) lglyn) d(m:m), w$bx) d(mk )ysr)yl,	
Luke	Sinaiticus	02:33	)bwhy dyn w)mh tmyhyn hww (l )ylyn dmtmlln (lwhy,	
Luke	Sinaiticus	02:34	wbrk )nwn $m(wn w)mr lmrym )mh, h) hn) sym b)ysr)yl lmpwlt) wlqym) ds:gy)) wl)t) dxyryn) dmmll),	
Luke	Sinaiticus	02:35	wlnp$ky dylky t(brynh rwmx) dntglyn mx$b:t) mn lbwt:) dsg:y))	
Luke	Sinaiticus	02:38	w)p hy qmt bh b$(t) w)wdyt lmry), wmmll) hwt (lwhy (l kwl )n$ dmsbr hw) pwrqnh d)wr$lm,	
Luke	Sinaiticus	02:39	ywsp dyn wmrym kd $lmw bhykl) (l bwkr) kwl mdm dktyb b)wryt) hpkw lglyl) lncrt mdynthwn%	
Luke	Sinaiticus	02:40	Tly) dyn rb) hw) wmtxyl wmtml) xkmt) wTybwt) d)lh) )yt hwt (lwhy	
Luke	Sinaiticus	02:41	w)n$why bkl $n) )zlyn hww l)wr$lm b(d(d) dpTyr:) dpsk	
Luke	Sinaiticus	02:42	wkd hw) br $nyn trt(sr) slqw )ykn) dm(dyn hww l(d(d)	
Luke	Sinaiticus	02:43	wkd $lmw ywmt) d(d(d) hpkw lhwn wy$w( Tly) p$ lh mnhwn b)wr$lm w)n$:why l) yd(w	
Luke	Sinaiticus	02:45	wkd l) )$kxwhy hpkw lhwn l)wr$lm wtmn b(yn hww lh,	
Luke	Sinaiticus	02:46	wmn btr tlt) ywmyn )$kxwhy bhykl) kd ytb mc(t mlpn:) w$m( hw) lhwn wm$)l hw) lhwn	
Luke	Sinaiticus	02:47	wtmyhyn hww klhwn )ylyn d$m(yn hww lh, wmtdmryn hww bxkmth wbptgmwhy	
Luke	Sinaiticus	02:48	wkd )$kxwhy )n$why tmhw, w)mr) lh )mh bry lmn) (bdt ln hkn) dh) )bwk w)n) bTwrp) sgy)) b(yn hwyn lk	
Luke	Sinaiticus	02:49	)mr lhwn mn) b(yn hwytwn ly l) yd(yn hwytwn dbyt )by wl) hw) ly d)hw)	
Luke	Sinaiticus	02:50	hnwn dyn l) )$twd(wh lmlt) d)mr lhwn	
Luke	Sinaiticus	02:51	wnxt (mhwn w)t) lncrt wm$t(bd hw) lhwn )mh dyn kwlhyn ml) nTr) hwt	
Luke	Sinaiticus	02:52	y$w( dyn rb) hw) bqwmth wsg) hw) bxkmth wbTybwth lwt )lh) wlwt bn:y )n$)%	
Luke	Sinaiticus	03:02	brbwt khnwt) dxnn wdqyp), hwt mlt) d)lh) (l ywxnn br zkry)	ܟܘܠ ܐܢܫ ܕܝܢ ܐܙܠ ܗܘܐ ܠܡܬܟܬܒܘ ܐܦ ܡܢ ܡܕܝܢܬܗ ܐܙܠ ܗܘܐ ܠܐܬܪܗ ܕܬܡܢ ܢܬܟܬܒ
Luke	Sinaiticus	03:03	wmkrz hw) bmdbr) wbklh )tr) dxdry ywrdnn m(mwdyt) dtybwt) l$wbqn) dxTh)	ܘܡܟܪܙ ܗܘܐ ܒܡܕܒܪܐ ܘܒܟܠܗ ܐܬܪܐ ܕܚܕܪܝ ܝܘܪܕܢܢ ܡܥܡܘܕܝܬܐ ܕܬܝܒܘܬܐ ܠܫܘܒܩܢܐ ܕܚܛܗܐ
Luke	Sinaiticus	03:04	)ykn) dktyb bnbywt) d)$(y) nby) ql) dqr) bmdbr) Tybw )wrx) lmry) wtrwcw bpq(t) $byl) l)lhn,	ܘܐܡܪ ܠܗ ܐܟܠ ܩܪܨܐ ܐܢ ܒܪܗ ܐܢܬ ܕܐܠܗܐ܂ ܐܡܪ ܠܗܕܐ ܟܐܦܐ ܕܬܗܘܐ ܠܚܡܐ܂
