book	witness	ref	cal_text	syriac_text
Mark	Sinaiticus	03:03	)mr lhw gbr) dyby$) )ydh qwm bmc(t)	ܐܡܪ ܠܗܘ ܓܒܪܐ ܕܝܒܝܫܐ ܐܝܕܗ ܩܘܡ ܒܡܨܥܬܐ
Mark	Sinaiticus	03:06	wbr $(th npqw pr:y$) (m dbyt hrwds w)tmlkw dnwbdwnh,	
Mark	Sinaiticus	03:07	wy$w( )zl lh (m tlmyd:why lym) wkn:$) sg:y)) dmn glyl) wmn yhwd	ܡܛܠ ܕܟܘܠܗܘܢ ܝܗܘ̈ܕܝܐ ܘܦܪ̈ܝܫܐ ܐܠܐ ܡܫܝܓܝܢ ܐܝܕܝܗܘܢ ܠܐ ܐܟܠܝܢ ܠܚܡܐ܂ ܕܐܚܝܕܝܢ ܡܫܠܡܢܘܬܐ ܕܩܫܝ̈ܫܐ
Mark	Sinaiticus	03:08	wmn )wr$lm wmn (br) dywrdnn wmn cwr wmn cydn d$m(yn hww klmdm d(bd )tw lwth	ܘܐܢ ܗܘ ܕܫܪܢܐ ܠܗܘܢ ܟܕ ܨܝܡܝܢ ܠܒܬܝܗܘܢ ܥܝܦܝܢ ܢܗܘܘܢ ܒܐܘܪܚܐ ܘܐܢܫܐ ܡܢܗܘܢ ܡܢ ܪܘܚܩ ܐܬܘ
Mark	Sinaiticus	03:09	w)mr hw) ltlm:ydwhy dnqrbwn lh spynt) mTl kn$) dl) nxbcwnh,	ܘܡܙܗܪ ܗܘܐ ܘܠܒܘܫܗ ܡܚܘܪ ܗܘܐ ܐܝܟ ܬܠܓܐ
Mark	Sinaiticus	03:11	w)ylyn d)yt hww (lyhwn mx)wt) dr:wx) Tnpt) nplyn hww qdmwhy wq(yn hww w)mryn )nt hw brh d)lh)	ܘܐܢ ܐܢܫ ܢܐܡܪ ܠܟܘܢ ܡܕܡ ܐܡܪܘ ܠܗ ܕܠܡܪܗ ܡܬܒܥܐ ܘܡܚܕܐ ܡܫܕܪ ܠܗ ܠܟܐ܂
Mark	Sinaiticus	03:13	wslq lTwr), wqr) hw) l)ylyn dcb) w)zlw lwth,	ܘܟܕ ܝܬܒ ܒܛܘܪ ܙܝܬܐ ܠܩܒܠ ܗܝܟܠܐ ܫܐܠܘܗܝ ܟܦܐ ܘܝܥܩܘܒ ܘܝܘܚܢܢ ܘܐܢܕܪܝܘܣ ܒܠܚܘܕܝܗܘܢ
Mark	Sinaiticus	03:14	wgb) mnhwn tr(sr: dnhwwn lwth dnhw) m$dr lhwn mkrzyn	ܘܟܕ ܗܘܐ ܒܒܝܬ ܥܢܝܐ ܒܒܝܬܗ ܕܫܡܥܘܢ ܓܪܒܐ ܟܕ ܣܡܝܟ ܐܬܬ ܐܢܬܬܐ ܚܕܐ ܟܕ ܫܩܝܠܐ ܫܛܝܦܬܐ ܕܒܣܡܐ ܢܪܕܝܢ ܦܣܛܩܘܣ ܛܒܬܐ ܕܝܩܝܪܝܢ ܕܡܘܗܝ ܘܬܒܪܬܗ ܘܐܫܦܥܬܗ ܥܠ ܪܫܗ
Mark	Sinaiticus	03:16	wqr) l$m(wn k)p)	ܘܐܡܪܢ ܗܘܝ ܒܢܦܫܗܝܢ ܡܢ ܕܝܢ ܥܓܠ ܠܢ ܟܦܐ ܕܒܝܬ ܩܒܘܪܐ܂
Mark	Sinaiticus	03:17	wly(qwb br zbdy wlywxnn )xwhy qr) )nwn bny rg$y	
