book	witness	ref	cal_text	syriac_text
John	Curetonian	03:05	lmlkwt) d)lh),	ܘܪܡܝܢ ܗܘܘ ܒܐ̈ܣܛܘܐ ܣܘܓܐܐ ܕܟܪ̈ܝܗܐ܂ ܘܣ̈ܡܝܐ ܘܝܒ̈ܝܫܐ ܘܡܚ̈ܓܪܐ܂
John	Curetonian	03:06	mdm dylyd mn bsr) bsr) hw, mTl dmn bsr) ylyd, wmdm dylyd mn rwx) rwx) hw, mTwl d)lh) rwx) hw, wmn )lh) )tyld,	ܘܣܠܩ ܗܘܐ ܝܫܘܥ ܠܛܘܪܐ܂ ܘܬܡܢ ܝܬܒ ܗܘܐ ܥܡ ܬܠܡ̈ܝܕܘܗܝ܂
John	Curetonian	03:07	wl) ttdmr d)mrt, lk, dwl) hw lkwn lmtyldw mn l(l,	ܘܐܡܪܘ ܗܘܘ ܠܗ ܐܚ̈ܘܗܝ܂ ܫܢܐ ܠܟ ܡܟܐ ܘܙܠ ܠܝܗܘܕ܂ ܕܢܚܙܘܢ ܬܠܡ̈ܝܕܝܟ ܥܒ̈ܕܐ ܕܥܒܕ ܐܢܬ܂
John	Curetonian	03:08	rwx) )tr dcby) n$b), wqlh. hw blxwd $m( )nt, )l) l) mn )ymk) )tt yd( )nt, wl) l)yk) )zl), hkn) )ytwhy kwl )n$ dmtyld mn m:y) wmn rwx),	
John	Curetonian	03:09	(n) nyqdmws w)mr lh, )ykn) m$kx) hd) lmhw),	
John	Curetonian	03:10	(n) y$w( w)mr lh, )nt hw mlpnh d)ysryl whlyn l) yd( )nt,	
John	Curetonian	03:12	)n (l )ylyn db)r() )nyn )mrt lkwn wl) mhymnyn )ntwn, )ykn) )n (l )ylyn db$my) )nyn )mr lkwn thymnwnny,	
John	Curetonian	03:13	l) )n$ slq l$my) )l) hw dnxt mn $my), brh d)n$) hw d)ytwhy hw) b$my),	
John	Curetonian	03:14	w)ykn) d)rym mw$) xwy) bmdbr), hkn) wl) lmttrmw lbrh d)n$),	
John	Curetonian	03:15	dkwl )n$ dmhymn bh nhwwn lh x:y) dl(lm,	
John	Curetonian	03:16	hkn) gyr )xb )lh) l(lm), )ykn) dlbrh yxyd) yhb, dkl )n$ dmhymn bh nhwwn lh xy:) dl(lm,	
John	Curetonian	03:17	l) gyr $dr )lh) brh l(lm) dndwnywhy l(lm), )l) d(lm) bh nx),	
John	Curetonian	03:18	mn dmhymn bh l) mtdyn, wmn dl) mhymn mxyb hw, dl) hymn b$mh dbrh d)lh) yxyd),	
John	Curetonian	03:19	hn) hw dyn dyn) dnwhr) )t) l(lm), w(lm) ytyr)yt rxm lx$wk), ytyr mn dlnhyr), mTl dby$yn hww (b:dwhy,	
John	Curetonian	03:20	mn ds:nyt) gyr (bd sn) lnwhr), wl) )t) lnwhr), dl) thw) mksnwt) l(b:dwhy,	
John	Curetonian	03:21	hw dyn d(bd qw$t), )t) lwt nhyr), dntxzwn (b:dwhy db)lh) (bydyn%	
John	Curetonian	03:22	btr hlyn npq y$w( wtlm:ydwhy l)r() dyhwd, wtmn mthpk hw) (mhwn, wm(md hw),	
John	Curetonian	03:23	)p ywxnn m(md hw) b(yn ywn d(l gnb $lym, mTl dm:y) sg:y)) hww tmn, w)tyn hww )n$) w(mdyn,	
John	Curetonian	03:24	l) gyr (dm) lh$) npl hw) ywxnn byt ):syr)%	
John	Curetonian	03:25	hwt hwt dyn b(t) bynt tlm:ydwhy dywxnn, (m yhw:dy) (l tdkyt),	
John	Curetonian	03:26	w)tw lwt ywxnn w)mryn lh, rbn, hw d(mk hw) b(br) dywrdnn, w)nt shdt (lwhy, h) )p hw m(md, wklhwn )n$) lwth )tyn,	
John	Curetonian	03:27	)mr lhwn ywxnn, l) m$kx br )n$) lmsb )pl) mdm, )l) )n yhyb lh mn $my),	
John	Curetonian	03:28	)ntwn dyn shdw ly d)n) )mrt dl) hwyt m$yx), )l) $lyx) )n) qdmwhy,	
John	Curetonian	03:30	lh hw gyr wl) lmrb) wly lmbcr,	
John	Curetonian	03:31	hw gyr dmn l(l )t) l(l mn kl hw, whw dmn )r() hw mn )r() hw wmn )r() hw mmll, whw dmn $my) )t),	
John	Curetonian	03:32	mdm dxz) w$m( mshd wshdwth l) kl )n$ mqbl,	
John	Curetonian	03:33	)yn) dqbl dyn dqbl shdwth xtm d)lh) $ryr) hw,	
John	Curetonian	03:34	)yn) gyr d)lh) $drh m:l) d)lh) mmll, l) hw) gyr bkylt) yhb rwx) )b) lbrh,	
John	Curetonian	03:35	)l) rxm hw lh wkl mdm yhb b):ydwhy,	
John	Curetonian	03:36	mn dmhymn bbr) )yt lh x:y) dl(lm, wmn dl) mhymn lbr) l) nxz) x:y) )l) rwgzh d)lh) nqw) (lwhy%	
John	Curetonian	04:01	kd yd( dyn y$w( d$m(w pr:y$) dsgyw tlm:ydwhy, wm(md hw) sgy mn ywxnn,	ܒܗ ܚܝ̈ܐ ܐܢܘܢ܂ ܘܚ̈ܝܐ ܐܝܬܝܗܘܢ ܢܘܗܪܐ ܕܒ̈ܢܝ ܐܢܫܐ܂
John	Curetonian	04:02	wl) hw) hw y$w( m(md hw) )l) tlm:ydwhy	
John	Curetonian	04:03	w$bqh. lyhwd w)zl lh twb lglyl),	
John	Curetonian	04:08	wt:lmydwy (lw hww lkrk) hw dnzbnwn lhwn sybrt),	
John	Curetonian	04:07	w)tt hwt )ntt) xd) mn $mryn dtml) m:y) )mr lh. y$w( hb ly m:y) )$t),	ܠܝܬ ܓܝܪ ܐܢܫ ܕܥܒܕ ܡܕܡ ܒܛܘܫܝܝ ܘܨܒܐ ܕܢܗܘܐ ܒܓܠܝܐ܂ ܐܢ ܗܠܝܢ ܥܒܕ ܐܢܬ ܚܘܐ ܢܦܫܟ ܠܥܠܡܐ܂
John	Curetonian	04:10	)mr lh. y$w(, )lw yd() hwyt mwhbth d)lh), wmnw hn) d)mr lky hby ly )$t), )nty $)l) hwyt lh, wyhb hw) lky m:y) x:y),	
John	Curetonian	04:12	dlm) )nt rb )nt mn )bwn y(qwb, dhw yhb ln br) hd), w)p hw mnh., )$ty wb:nwhy w(nh,	
John	Curetonian	04:13	)mr lh. y$w( kwl dn$t) mn hlyn m:y) twb nch),	
John	Curetonian	04:14	wkl dn$t) mn m:y) )ylyn d)n) )tl lh twb l) nch) l(lm, )l) m:y) hnwn d)tl lh nhwwn bh m(yn) d:my) lx:y) dl(lm,	
John	Curetonian	04:15	)mr) lh )ntt) hy, mry hb ly mn hlyn m:y), dl) hwyt chy) w)ty) dly) mn hmk),	
John	Curetonian	04:16	)mr lh. y$w( zly qry ly lb(lky, wty lhrk),	
John	Curetonian	04:17	)mr) lh lyt ly b(l), )mr lh. y$w( $pyr )mrty dlyt ly b(l),	
John	Curetonian	04:18	x:m$) gyr b:(lyn hww lky, whn) d)yt lky h$) l) hw) b(lky, hd) $ryrt) )mrty,	
John	Curetonian	04:20	):bhyn bhn) Twr) sgdw, w)ntwn dyn )mryn )ntwn db)wr$lm hw byt sgdt),	
John	Curetonian	04:21	)mr lh. y$w( )ntt) hymnyny, d)ty) $(t), dl) bhn) Twr), )pl) b)wr$lm tsgdwn l)b),	
John	Curetonian	04:22	)ntwn sgdyn )ntwn lmdm dl) yd(yn )ntwn, w)nxnn sgdyn )nxnn lmdm dyd(yn )nxnn, dx:y) mn yhwd) )nwn,	
John	Curetonian	04:23	)l) )ty) $(t) wh$) )ytyh, ds:gwd) $r:yr) nsgdwn l)b) brwx) wb$rr), w)p )b) gyr )yk hlyn hw sg:wd) b(),	
John	Curetonian	04:24	)lh) gyr rwx) hw, w)ylyn dsgdyn lh brwx), wlmsgd lhwn wl) l)ylyn dbrwx) wb$rr) sgdyn lh,	
John	Curetonian	04:25	)mr) lh hy )ntt), yd() )n) dm$yx) )t), wm) d)t) hw mbdq ln kwl mdm,	
John	Curetonian	04:26	)mr lh. y$w( )n) )n) dmmll )n) (mky,	
John	Curetonian	04:27	wkd hnwn mmllyn, )tw tlm:ydwhy wmtdmryn hww d(m )ntt), mmll hw) m)mr dyn l) )mrw lh d)w mn) b(t )w mn) )mr hwyt lh.,	
John	Curetonian	04:28	why )ntt) $bqth. qwlth. w)zlt hwt lmdynt), w)mr) l)n$)	
John	Curetonian	04:29	tw xzw gbr) d)mr ly kl mdm d(bdt, dlm) hwyw m$yx),	
John	Curetonian	04:30	wnpqw mn mdynt), w)tyn hww lwth,	
John	Curetonian	04:31	tlm:ydwhy dyn b(yn hww mnh dn)kwl (mhwn lxm),	
John	Curetonian	04:32	)mr lhwn, )yt ly m)kwlt) d)kwl )yd) d)ntwn l) yd(yn lh.,	
John	Curetonian	04:34	)mr lhwn hw y$w(, mkwlty dyly d)(bd hw cbynh dmn d$drny, w)$lmywhy l(bd),	
John	Curetonian	04:37	bhd) gyr )ytyh mlt) d$rr), d)xrn hw zr( w)xryn hw xcd,	
John	Curetonian	04:39	wmn mdnt) hy sg:y)) hymnw bh mn $:mry), mTl shdwth. dhy )ntt), d)mr) hwt kwl mdm d(bdt )mr ly,	
John	Curetonian	04:41	wsg:y)) hymnw bh, mTwl mlth,	
John	Curetonian	04:42	w)mryn hww l)ntt) hy, mkyl l) hw) mTl mltky mhymnyn )nxnn bh, )nxnn gyr $m(n mnh, wyd(n d$ryr)yt hwyw mxynh d(lm)%	
John	Curetonian	04:45	wkd )t) qblwhy g:lyly), kd xzw mdm d(bd b)wr$lm b(d(d), w)p hnwn gyr )tw hww l(d(d),	
John	Curetonian	04:46	w)t) hw) twb lqTn) dglyl), )tr d(bd hw) m:y) hnwn xmr)% w)yt hw) bkprnxwm (bd mlk) xd dbrh kryh hw),	
John	Curetonian	04:47	kd $m( dy$w( )t) mn glyl) lyhwd, )t) lwth, wb() hw) mnh dnxwt wnxz) lbrh, mTl dqryb hw) lmmt,	
John	Curetonian	04:49	)mr lh (bd mlk) mry xwt (dl) m)t lh Tly),	
John	Curetonian	04:50	)mr lh y$w(, zl lbytk h) brk xy), whymn hw gbr) bmlth dy$w(,	
John	Curetonian	04:51	wkd )zl )r(why (b:dwhy wsbrwhy, w)mrw lh dbrk xy),	
John	Curetonian	04:52	w$)l )nwn db)yd) $(t) hw) $pyr, )mryn lh )tmly bt$( $:(yn $bqth )$t),	
John	Curetonian	04:53	wyd( )bwhy dbhy $(t) d)mr lh y$w( dbrk xy), whymn hw wkwlh byth,	
John	Curetonian	04:54	hd) hy )t) dtr:tyn d(bd y$w(, kd )t) mn yhwd lglyl)%	
John	Curetonian	05:01	btr hlyn hw) hw) (d(d) dy:hwdy), wslq hw) y$w( l)wr$lm,	ܘܗܘ ܢܘܗܪܐ ܒܚܫܘܟܐ ܡܢܗܪ ܗܘܐ܂ ܘܚܫܘܟܐ ܠܐ ܐܕܪܟܗ܂
John	Curetonian	05:05	w)yt hw) tmn gbr) xd dtltyn wtmn) $:nyn kryh hw),	ܘܐܝܬ ܗܘܐ ܬܡܢ ܓܒܪܐ ܚܕ ܕܬܠܬܝܢ ܘܬܡܢܐ ܫ̈ܢܝܢ ܟܪܝܗ ܗܘܐ܂
John	Curetonian	05:07	)mr lh mry lyt ly )n$ dm) d)tzy(w m:y) nxtny lm(mwdyt), w(d )n) )t) )xrn mn qdmy nxt,	ܥܕܡܐ ܓܝܪ ܠܗܝܕܝܢ ܐܦܠܐ ܐܚ̈ܘܗܝ ܗܝܡܢܘ ܗܘܘ ܒܗ܂
John	Curetonian	05:08	)mr lh y$w(, qwm $qwl (rsk whlk zl lbytk,	
John	Curetonian	05:09	wbh. b$(t) )txlm gbr) hw whlk, whw h.w ywm) $bt) hwt,	
John	Curetonian	05:10	)mryn lh yh:wdy), $bt) hy l) $lyT lk dt$qwl (rsk,	
John	Curetonian	05:11	)mr lhwn hw hw d)xlmny, hw )mr ly d$qwl (rsk whlk,	
John	Curetonian	05:12	)mryn lh mnw hn) gbr) d)mr lk d$qwl (rsk whlk,	
John	Curetonian	05:13	whw d)t)sy l) yd( hw) mnw, hw gyr y$w( $ny hw) lh mn dwkt) lxbrth., mTl kn$) d)n$),	
John	Curetonian	05:15	w)zl gbr) hw w)mr lyh:wdy), dy$w( hw hw d)xlmny,	
John	Curetonian	05:16	wmTlth rdpyn hww yh:wdy) ly$w(, (l dlmn) (bd hlyn b$bt),	
John	Curetonian	05:17	hw dyn y$w( )mr lhwn, )by (dm) lh$) (b:d) (bd, mTl hn) w)p )n) (bdn),	
John	Curetonian	05:19	)mr lhwn y$w(, )myn )myn )mrn) lkwn, dl) m$kx br) mdm mn cbwt np$h lm(bd )pl) mdm dl) xz) l)bwhy d(bd, )l) m) d)bwhy (bd w)p br) bh mtdm),	
John	Curetonian	05:20	)b) gyr rxm hw lbrh, wklmdm d(bd mxw) lh, dhw n(bd, wdytyryn mn hlyn (b:d) mxw) lh, wl) ttdmrwn d)mrt lkwn,	
John	Curetonian	05:21	)ykn) gyr d)b) mx) my:t) wmqym lhwn, hkn) )p br) mx) l)ylyn dmhymnyn bh,	
John	Curetonian	05:22	)b) gyr l)n$ l) ndwn, )l) kwlh dyn) lbrh ntlywhy,	
John	Curetonian	05:23	dkl )n$ nyqr lbr) )ykn) dmyqr l)b), wmn dlbr) l) myqr )pl) l)b) d$drh myqr,	
John	Curetonian	05:24	)myn )myn )mrn) lkwn, dmn d$m( mlty wmhymn lmn d$drny, )yt lh xy:) dl(lm, wldyn) l) )t), mTl d$ny lh mn mwt) lx:y),	
John	Curetonian	05:25	)myn )myn )mrn) lkwn, d)ty) $(t) w)p h$) )ytyh, d)p m:yt) n$m(wn qlh dbrh d)lh) wnxwn,	
John	Curetonian	05:27	w)$lTh (l dyn)	
John	Curetonian	05:28	dbrh hw d)n$), wl) ttdmrwn bhd), dh) klhwn )ylyn dbq:br) )nwn, n$m(wn qlh d)lh) wnxwn	
John	Curetonian	05:29	wnpqwn, w)ylyn d:(bdy Tbt:) )nwn nhwwn lqymt) dx:y), w)ylyn d(b:dy by:$t) )nwn nhwwn lqymt) ddyn),	
John	Curetonian	05:31	)n )n) mshd )n) (l np$y, shdwty l) hwt $ryr),	
John	Curetonian	05:32	)xrn hw shd (ly, wyd(yn )ntwn d$ryr) hy shdwth d)shd (ly,	
John	Curetonian	05:33	)ntwn $drtwn lwt ywxnn, w)shd b$rr),	
John	Curetonian	05:34	)n) dyn l) hw) mn br )n$) nsb )n) shdwt), )l) hlyn )mr )n) d)ntwn txwn,	
John	Curetonian	05:36	)yt ly dyn shdwt) drb) mn dywxnn, (b:d) gyr dyhb ly )by d)$lm )nwn, hnwn (b:d) d(bd )n) shdyn (ly d)b) $lxny,	
John	Curetonian	05:37	w)b) d$lxny hw shd (ly, l) qlh mn mtwm $m(twn, wl) xzwh xzytwn,	
John	Curetonian	05:38	wl) mlth mqwy) bkwn, mTl db)yn) dhw $dr )ntwn l) mhymnyn )ntwn,	
John	Curetonian	05:40	wlwty l) cbyn )ntwn dt)twn, dnhwwn lkwn x:y),	
John	Curetonian	05:41	$wbx) mn b:ny )n$) l) nsb )n),	
